Season,Round,Home Team,Away Team,Home Goals,Away Goals,Home FH Goals,Away FH Goals
5,33,Atalanta,Palermo,1,0,0,0
5,33,Brescia,Reggina,2,0,0,0
5,33,Bologna,Fiorentina,0,0,0,0
5,33,Sampdoria,Roma,2,1,1,0
5,33,Lazio,Juventus,0,1,0,0
5,34,Fiorentina,Milan,1,2,1,0
5,34,Cagliari,Reggina,1,1,0,1
5,34,Inter,Siena,2,0,2,0
5,34,Parma,Livorno,6,4,3,2
5,34,Messina,Sampdoria,2,2,1,1
5,34,Roma,Brescia,2,2,1,0
5,34,Lecce,Lazio,5,3,2,1
5,34,Juventus,Bologna,2,1,2,1
5,34,Udinese,Atalanta,2,1,2,1
5,34,Palermo,Chievo,2,2,2,1
5,35,Chievo,Fiorentina,1,2,0,1
5,35,Milan,Juventus,0,1,0,1
5,35,Livorno,Siena,3,6,1,2
5,35,Parma,Roma,2,1,0,1
5,35,Atalanta,Messina,2,1,0,1
5,35,Brescia,Inter,0,3,0,0
5,35,Cagliari,Palermo,0,0,0,0
5,35,Reggina,Bologna,1,1,1,1
5,35,Sampdoria,Lecce,3,0,2,0
5,35,Lazio,Udinese,0,1,0,0
5,36,Inter,Livorno,1,0,1,0
5,36,Messina,Cagliari,2,1,1,0
5,36,Roma,Lazio,0,0,0,0
5,36,Fiorentina,Atalanta,0,0,0,0
5,36,Lecce,Milan,2,2,0,1
5,36,Juventus,Parma,2,0,2,0
5,36,Bologna,Brescia,1,2,0,0
5,36,Udinese,Sampdoria,1,1,1,1
5,36,Palermo,Reggina,1,1,0,1
5,36,Siena,Chievo,0,1,0,0
5,37,Milan,Palermo,3,3,3,1
5,37,Chievo,Bologna,1,0,0,0
5,37,Livorno,Juventus,2,2,0,1
5,37,Parma,Siena,0,0,0,0
5,37,Atalanta,Roma,0,1,0,0
5,37,Brescia,Messina,2,1,0,0
5,37,Cagliari,Udinese,1,1,0,0
5,37,Reggina,Lecce,2,2,2,2
5,37,Sampdoria,Inter,0,1,0,1
5,37,Lazio,Fiorentina,1,1,1,1
5,38,Inter,Reggina,0,0,0,0
5,38,Messina,Livorno,1,1,0,0
5,38,Roma,Chievo,0,0,0,0
5,38,Fiorentina,Brescia,3,0,1,0
5,38,Lecce,Parma,3,3,2,2
5,38,Juventus,Cagliari,4,2,1,0
5,38,Bologna,Sampdoria,0,0,0,0
5,38,Udinese,Milan,1,1,0,0
5,38,Palermo,Lazio,3,3,1,1
5,38,Siena,Atalanta,2,1,1,0
6,1,Livorno,Lecce,2,1,1,1
6,1,Fiorentina,Sampdoria,2,1,2,0
6,1,Inter,Treviso,3,0,1,0
6,1,Parma,Palermo,1,1,0,1
6,1,Juventus,Chievo,1,0,1,0
6,1,Reggina,Roma,0,3,0,1
6,1,Udinese,Empoli,1,0,1,0
6,1,Siena,Cagliari,2,1,1,1
6,1,Lazio,Messina,1,0,1,0
6,1,Ascoli,Milan,1,1,0,0
6,2,Milan,Siena,3,1,2,1
6,2,Palermo,Inter,3,2,1,0
6,2,Chievo,Parma,1,0,1,0
6,2,Messina,Fiorentina,2,2,0,2
6,2,Roma,Udinese,0,1,0,1
6,2,Lecce,Ascoli,0,0,0,0
6,2,Cagliari,Lazio,1,1,1,1
6,2,Sampdoria,Reggina,3,2,1,1
6,2,Empoli,Juventus,0,4,0,3
6,2,Treviso,Livorno,0,1,0,0
6,3,Inter,Lecce,3,0,2,0
6,3,Parma,Empoli,1,0,1,0
6,3,Livorno,Roma,0,0,0,0
6,3,Fiorentina,Udinese,4,2,2,1
6,3,Juventus,Ascoli,2,1,2,1
6,3,Cagliari,Messina,1,1,1,1
6,3,Reggina,Chievo,1,3,1,1
6,3,Siena,Palermo,1,2,1,1
6,3,Sampdoria,Milan,2,1,1,1
6,3,Lazio,Treviso,3,1,2,1
6,4,Chievo,Inter,0,1,0,0
6,4,Milan,Lazio,2,0,2,0
6,4,Messina,Livorno,0,0,0,0
6,4,Roma,Parma,4,1,3,1
6,4,Lecce,Fiorentina,1,3,1,0
6,4,Udinese,Juventus,0,1,0,1
6,4,Palermo,Reggina,1,0,0,0
6,4,Empoli,Cagliari,3,1,0,1
6,4,Ascoli,Siena,1,1,0,1
6,4,Treviso,Sampdoria,0,2,0,1
6,5,Parma,Juventus,1,2,1,1
6,5,Reggina,Udinese,2,0,1,0
6,5,Inter,Fiorentina,1,0,1,0
6,5,Livorno,Ascoli,2,0,0,0
6,5,Cagliari,Roma,0,0,0,0
6,5,Siena,Messina,4,2,3,1
6,5,Sampdoria,Chievo,1,2,0,1
6,5,Lazio,Palermo,4,2,0,1
6,5,Empoli,Lecce,1,0,0,0
6,5,Treviso,Milan,0,2,0,1
6,6,Chievo,Treviso,0,0,0,0
6,6,Udinese,Lazio,3,0,0,0
6,6,Milan,Reggina,2,1,2,0
6,6,Messina,Sampdoria,1,4,0,1
6,6,Roma,Siena,2,3,0,1
6,6,Fiorentina,Livorno,3,2,2,0
6,6,Lecce,Cagliari,3,0,2,0
6,6,Juventus,Inter,2,0,2,0
6,6,Palermo,Empoli,2,2,1,2
6,6,Ascoli,Parma,3,1,2,1
6,7,Juventus,Messina,1,0,1,0
6,7,Siena,Udinese,2,3,0,2
6,7,Inter,Livorno,5,0,2,0
6,7,Parma,Treviso,1,1,1,0
6,7,Cagliari,Milan,0,2,0,2
6,7,Reggina,Lecce,2,0,1,0
6,7,Palermo,Chievo,2,2,1,2
6,7,Lazio,Fiorentina,1,0,0,0
6,7,Empoli,Roma,1,0,0,0
6,7,Ascoli,Sampdoria,2,1,1,0
6,8,Messina,Ascoli,1,1,1,0
6,8,Fiorentina,Parma,4,1,3,0
6,8,Chievo,Cagliari,2,1,0,0
6,8,Milan,Palermo,2,1,1,1
6,8,Livorno,Reggina,1,0,0,0
6,8,Roma,Lazio,1,1,1,0
6,8,Lecce,Juventus,0,3,0,1
6,8,Udinese,Inter,0,1,0,1
6,8,Sampdoria,Siena,3,3,1,0
6,8,Treviso,Empoli,1,2,0,1
6,9,Inter,Roma,2,3,0,2
6,9,Parma,Messina,1,1,1,0
6,9,Juventus,Sampdoria,2,0,1,0
6,9,Cagliari,Livorno,1,1,0,0
6,9,Reggina,Treviso,1,2,0,1
6,9,Palermo,Lecce,3,0,1,0
6,9,Siena,Fiorentina,0,2,0,1
6,9,Lazio,Chievo,2,2,1,0
6,9,Empoli,Milan,1,3,1,1
6,9,Ascoli,Udinese,1,1,1,0
6,10,Milan,Juventus,3,1,3,0
6,10,Sampdoria,Inter,2,2,2,2
6,10,Chievo,Empoli,2,2,1,1
6,10,Livorno,Parma,2,0,2,0
6,10,Roma,Ascoli,2,1,1,0
6,10,Fiorentina,Cagliari,2,1,0,1
6,10,Lecce,Messina,0,2,0,0
6,10,Reggina,Lazio,1,0,0,0
6,10,Udinese,Palermo,0,0,0,0
6,10,Treviso,Siena,0,1,0,1
6,11,Lazio,Inter,0,0,0,0
6,11,Empoli,Reggina,3,0,1,0
6,11,Milan,Udinese,5,1,3,0
6,11,Parma,Lecce,2,0,1,0
6,11,Messina,Roma,0,2,0,1
6,11,Juventus,Livorno,3,0,0,0
6,11,Cagliari,Treviso,0,0,0,0
6,11,Palermo,Sampdoria,0,2,0,1
6,11,Siena,Chievo,0,1,0,1
6,11,Ascoli,Fiorentina,0,2,0,1
6,12,Roma,Juventus,1,4,0,1
6,12,Udinese,Messina,1,0,0,0
6,12,Chievo,Ascoli,1,1,1,1
6,12,Inter,Parma,2,0,0,0
6,12,Livorno,Empoli,2,0,1,0
6,12,Fiorentina,Milan,3,1,1,1
6,12,Lecce,Siena,3,0,1,0
6,12,Reggina,Cagliari,3,1,2,0
6,12,Sampdoria,Lazio,2,0,0,0
6,12,Treviso,Palermo,2,2,2,1
6,13,Milan,Lecce,2,1,1,0
6,13,Livorno,Chievo,0,0,0,0
6,13,Parma,Udinese,1,2,0,1
6,13,Messina,Inter,1,2,0,1
6,13,Roma,Fiorentina,1,1,1,0
6,13,Juventus,Treviso,3,1,2,1
6,13,Cagliari,Sampdoria,2,0,1,0
6,13,Siena,Reggina,0,0,0,0
6,13,Empoli,Lazio,2,3,0,1
6,13,Ascoli,Palermo,1,1,0,1
6,14,Chievo,Milan,2,1,1,1
6,14,Inter,Ascoli,1,0,1,0
6,14,Fiorentina,Juventus,1,2,1,1
6,14,Lecce,Roma,2,2,0,2
6,14,Reggina,Parma,2,1,2,1
6,14,Udinese,Livorno,0,2,0,1
6,14,Palermo,Cagliari,2,2,2,0
6,14,Sampdoria,Empoli,2,0,0,0
6,14,Lazio,Siena,3,2,1,0
6,14,Treviso,Messina,0,0,0,0
6,15,Fiorentina,Treviso,1,0,0,0
6,15,Siena,Empoli,1,0,1,0
6,15,Inter,Milan,3,2,1,1
6,15,Livorno,Lazio,2,1,0,0
6,15,Parma,Sampdoria,1,1,1,0
6,15,Messina,Chievo,2,0,2,0
6,15,Roma,Palermo,1,2,1,1
6,15,Juventus,Cagliari,4,0,2,0
6,15,Udinese,Lecce,1,2,0,1
6,15,Ascoli,Reggina,1,1,0,0
6,16,Lazio,Juventus,1,1,1,1
6,16,Treviso,Lecce,2,1,1,0
6,16,Chievo,Udinese,2,0,1,0
6,16,Milan,Messina,4,0,1,0
6,16,Cagliari,Ascoli,2,1,2,0
6,16,Reggina,Inter,0,4,0,3
6,16,Palermo,Livorno,0,2,0,0
6,16,Siena,Parma,2,2,0,0
6,16,Sampdoria,Roma,1,1,0,1
6,16,Empoli,Fiorentina,1,1,0,0
6,17,Inter,Empoli,4,1,2,0
6,17,Livorno,Milan,0,3,0,1
6,17,Parma,Cagliari,1,0,1,0
6,17,Messina,Reggina,1,1,1,0
6,17,Roma,Chievo,4,0,2,0
6,17,Fiorentina,Palermo,1,0,1,0
6,17,Lecce,Lazio,0,0,0,0
6,17,Juventus,Siena,2,0,1,0
6,17,Udinese,Sampdoria,2,0,0,0
6,17,Ascoli,Treviso,1,0,1,0
6,18,Reggina,Fiorentina,1,1,1,1
6,18,Palermo,Juventus,1,2,1,2
6,18,Chievo,Lecce,3,1,1,1
6,18,Milan,Parma,4,3,3,1
6,18,Cagliari,Udinese,2,1,1,1
6,18,Siena,Inter,0,0,0,0
6,18,Sampdoria,Livorno,0,2,0,1
6,18,Lazio,Ascoli,4,1,2,1
6,18,Empoli,Messina,1,3,1,1
6,18,Treviso,Roma,0,1,0,1
6,19,Messina,Palermo,0,0,0,0
6,19,Lecce,Sampdoria,0,3,0,2
6,19,Inter,Cagliari,3,2,2,1
6,19,Livorno,Siena,2,2,1,1
6,19,Parma,Lazio,1,1,1,1
6,19,Roma,Milan,1,0,0,0
6,19,Fiorentina,Chievo,2,1,1,0
6,19,Juventus,Reggina,1,0,1,0
6,19,Udinese,Treviso,2,2,1,1
6,19,Ascoli,Empoli,3,1,1,1
6,20,Chievo,Juventus,1,1,1,1
6,20,Milan,Ascoli,1,0,1,0
6,20,Messina,Lazio,1,1,1,0
6,20,Roma,Reggina,3,1,1,0
6,20,Lecce,Livorno,0,0,0,0
6,20,Cagliari,Siena,1,0,0,0
6,20,Palermo,Parma,4,2,1,2
6,20,Sampdoria,Fiorentina,3,1,3,1
6,20,Empoli,Udinese,1,1,0,0
6,20,Treviso,Inter,0,1,0,1
6,21,Inter,Palermo,3,0,1,0
6,21,Lazio,Cagliari,1,1,1,0
6,21,Livorno,Treviso,1,1,0,1
6,21,Parma,Chievo,2,1,1,1
6,21,Fiorentina,Messina,2,0,1,0
6,21,Juventus,Empoli,2,1,1,1
6,21,Reggina,Sampdoria,2,1,2,1
6,21,Udinese,Roma,1,4,0,1
6,21,Siena,Milan,0,3,0,1
6,21,Ascoli,Lecce,2,0,2,0
6,22,Milan,Sampdoria,1,1,1,1
6,22,Palermo,Siena,1,3,0,1
6,22,Chievo,Reggina,4,0,0,0
6,22,Messina,Cagliari,1,0,0,0
6,22,Roma,Livorno,3,0,2,0
6,22,Lecce,Inter,0,2,0,0
6,22,Udinese,Fiorentina,0,0,0,0
6,22,Empoli,Parma,1,2,0,1
6,22,Ascoli,Juventus,1,3,1,3
6,22,Treviso,Lazio,0,1,0,0
6,23,Parma,Roma,0,3,0,0
6,23,Siena,Ascoli,1,1,0,1
6,23,Inter,Chievo,1,0,1,0
6,23,Livorno,Messina,2,2,0,0
6,23,Fiorentina,Lecce,1,0,1,0
6,23,Juventus,Udinese,1,0,0,0
6,23,Cagliari,Empoli,4,1,3,0
6,23,Reggina,Palermo,2,2,1,1
6,23,Sampdoria,Treviso,1,1,1,0
6,23,Lazio,Milan,0,0,0,0
6,24,Chievo,Sampdoria,1,1,0,1
6,24,Milan,Treviso,5,0,1,0
6,24,Messina,Siena,0,0,0,0
6,24,Roma,Cagliari,4,3,2,2
6,24,Fiorentina,Inter,2,1,1,0
6,24,Lecce,Empoli,1,2,0,2
6,24,Juventus,Parma,1,1,1,1
6,24,Udinese,Reggina,1,2,1,1
6,24,Palermo,Lazio,3,1,1,0
6,24,Ascoli,Livorno,0,0,0,0
6,25,Lazio,Udinese,1,1,1,1
6,25,Treviso,Chievo,1,2,0,1
6,25,Inter,Juventus,1,2,0,0
6,25,Livorno,Fiorentina,2,0,0,0
6,25,Parma,Ascoli,0,0,0,0
6,25,Cagliari,Lecce,0,0,0,0
6,25,Reggina,Milan,1,4,1,2
6,25,Siena,Roma,0,2,0,0
6,25,Sampdoria,Messina,4,2,1,1
6,25,Empoli,Palermo,0,1,0,0
